incoming,your_reply
"I would still say your use of the mouse made you slower, during the competition I observed. That's what I wanted to say today 😅 Avoid the mouse to increase the speed.",Yeah bro I have to.
That's not the difference. First of all turbo C doesn't support c99 standard. Next is by using keyboard means using shortcuts which are available more in vim than any editors. While turbo C has none specialized shortcut other than normal ones.,OK got it
What I believe is the mouse makes us slow.,Oh OK
Will work in the morning tomorrow.,OK bro
started working on C project with anything?,Worked on file operations yesterday
"Okay, informed to Shashank also?","And saw how we can incorporate socket into it,  got an understanding of how it works"
"Okay, you guys can divide the job among yourselves.",Like I saw an video on how to incorporate
I'm still coding for chat.,OK bro The socket part?
share it.,Shall I send you the video link
yes.,https://youtu.be/okzEZmnVWnM?si=tcEOLsVDC9fZKjrF
"oh damn, it's in C++",Yeah I saw it because anyway I need not to go with the code. I saw it to understand how the concept works
good,Hmm not sure bro I didn't go till the end
okay,OK bro
classes at 11 so,OK
Me?,"Not sure,  but he asked us to come"
Okay,Ok
Got your fees receipt?,He messaged me today
Alright,Oh shit nope
"Ask your family to send a picture, you can take print out","I have the scanned copy,  I will get xerox and will give them"
Okay,OK bro
Where are you,College bro
Coming,Okay
Class is available?,No
Then,Sitting in corridor
Discussing there only?,Not yet started
"I tried leetcode with 2 easy programs, it was so hard for me crack it and took more time 😢 I'm worried I'm not good at coding yet.",Prepared the problems I have solved in leetcode
yeah,"Because of a long break,  it seems to be difficult"
basic logics I'm taking too much of time.,"If we would have practiced continuously,  it would have been better"
"yes right, but given other works I couldn't practice.",Hmm yes even I too <This message was edited>
let's see what happens tomorrow.,OK bro
I have gone through C mcq's.,OK
"My focus was more on project and how to achieve that, so I'm not good solving problems if given, as I already told you I take longer time to understand a program. From now on I should code on leetcode too.",Yeah even I have to restart solving problems in leetcode
if I can't code simple programs then what's use of the projects.,I felt very low when I saw my DS leetcode notes today
notes? what's that?,Yeah no need of writing the main function in Leetcode
"I didn't know about it. I kept wondering what is the error, it pissed me off so much. Then chatgpt told me. <This message was edited>","When I was preparing data structures online and solving problems,  I would take note of it and I would write the code in a book for my reference"
oh,"Yeah I have to restart,  i stopped in strings"
👋🏻,OK bro Good night
I will be coming late <This message was edited>,At what time bro?
Before 9,OK
Have you reached?,Will be reaching in 5 mins
Okay let me know if any info given,Ok
I'm at mantri metro station,OK bro
You know sort programs right?,Yeah
Okay,"Bubble,  selection and cyclic sort"
Good 👍🏻,I will go through merge and quick sort now
I don't think they will ask that much,OK then
I have arrived,I am in 3rd floor bro
Competition at 6th right?,Yeah coming
Okay,Are you inside?
"No, in the corridor.",OK coming
<Media omitted>,Bro what to do with this certificate. Anyways they have sent that's nice
haha i was joking,Haha 😂
this is worthless,Yes I felt the same
yes!,Nice one
I did personally,OK bro
okay,OK bro
And for those who are not doing the project is seminar+assignment. Right?,Yeah I think so
We have to write the os only then.,Let's ask mam tomorrow
Have you written? Is it long?,Let's ask C mam also tomorrow
For?,Same like Ds
Sure,OK bro
I don't know which programs to write for sample programs.,5 mins
what descriptions we have to write for the programs?,OK I will send you
Okay.,I will send you that also
apply to this,Actually we aren't eligible for this
why?,Only 2025 passing out students can apply
I got it about when they mentioned we can't continue our studies after getting jobs. But ma'am sent this so I thought you should try it.,"No no, just for some information she may have sent"
It's more like she has forwarded it without checking 😅,Yeah maybe
can you send now?,Yes bro sending
okay,<Media omitted>
for other 3 sample programs?,No description for sample programs
Okay,Description need to be written only for labsets
What is that 4th program? I never did that program in lab.,<Media omitted>
is 7 are enough?,I have written like these
okay then.,OK bro
"Leave it's okay, it has a process, it would be difficult to teach from here, So, I will download and make my pen drive bootable device and bring tomorrow, it will be better that way.",No
my course has been updated to 41 hours. 😬 How are we supposed finish these long courses with practical knowledge before June 😪,Yes bro
Coming tomorrow?,Yeah
okay.,Thanks for reminding bro
https://en.wikipedia.org/wiki/Hyphanet,"Saw this, related to our project"
<Media omitted>,Yeah you said about this
Let's see.,Ok
bro coming?,No bro. Expected fever would decrease buy it didn't . So going to hospital
Okay take care 👍🏻,OK bro
Wow great 👍🏻,Divided a 28kb image into each 1kb chunks and again merged them into a seperate file
Good 👍🏻,Time? The executable time ?
Like did it take longer or was it fast?,"It just happened in seconds bro, only because it is a kb file, if i take mb files, it will take longer time"
Because time is very important for projects like these.,Yeah getting it
"Yeah, okay then test for video also then, then check the time.",Ok sure
Oh,with visual studio 2022 community version
Didn't get you,"For this file operations, editor is working. Don't know whether this will work for server, clients socket progra mming"
And remember the divided files shouldn't be accessed. It should be inaccessible.,Yeah
Yes,Ok
Got the other parts 👍🏻,"Yeah the fwrite operation, we can pass parameters into it like the byte_size to be divided and the chink file name it to be stored."
"Okay, got it.",I will send you the code and  you will get to know clearly
"Test the video too, I will see later.","Encrypt, decrypt and hashing"
"Like the divided files shouldn't be accessed, we can probably save the file with no extension. And while merging can add the original file extension.",<Media omitted>
"Yes it would be a problem, so it should be inaccessible.",Yeah yesterday we divided our tasks in group right?
Okay,Sure bro.
It's easy to do. I have done it on my mobile only. Just by changing the file extension.,Ok bro
Then later you can do this.,Ok
Okay anything else?,<Media omitted>
Are you asking me?,"Yeah, any ideas?"
"Okay, you just need to save that file without any extension.","Ok now I have saved with jpg extension, if I remove the extension it would be inaccessible"
"Yes, check it once. Some systems can make it accessible.",Ok I will check it bro'\
